wave,group_name,question,frequency,estimate,group_category,mid_date
Week45,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",Not at all,11316458,household_income,5/3/2022
Week45,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",Several days,7835079,household_income,5/3/2022
Week45,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,2393939,household_income,5/3/2022
Week45,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,2658460,household_income,5/3/2022
Week45,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",Did not report,76132,household_income,5/3/2022
Week45,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,Not at all,13449884,household_income,5/3/2022
Week45,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,Several days,6958994,household_income,5/3/2022
Week45,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,More than half the days,1878937,household_income,5/3/2022
Week45,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,Nearly every day,1920793,household_income,5/3/2022
Week45,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,Did not report,71461,household_income,5/3/2022
Week45,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",Not at all,12939997,household_income,5/3/2022
Week45,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",Several days,8856440,household_income,5/3/2022
Week45,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,2366399,household_income,5/3/2022
Week45,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,2855680,household_income,5/3/2022
Week45,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",Did not report,34315,household_income,5/3/2022
Week45,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,Not at all,15317638,household_income,5/3/2022
Week45,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,Several days,7822707,household_income,5/3/2022
Week45,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,More than half the days,1766547,household_income,5/3/2022
Week45,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,Nearly every day,2014538,household_income,5/3/2022
Week45,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,Did not report,131401,household_income,5/3/2022
Week45,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",Not at all,6447219,household_income,5/3/2022
Week45,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",Several days,4083769,household_income,5/3/2022
Week45,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,960979,household_income,5/3/2022
Week45,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,1102987,household_income,5/3/2022
Week45,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",Did not report,10016,household_income,5/3/2022
Week45,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,Not at all,7552561,household_income,5/3/2022
Week45,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,Several days,3532761,household_income,5/3/2022
Week45,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,More than half the days,768175,household_income,5/3/2022
Week45,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,Nearly every day,713580,household_income,5/3/2022
Week45,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,Did not report,37892,household_income,5/3/2022
Week45,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",Not at all,7536108,household_income,5/3/2022
Week45,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",Several days,4935271,household_income,5/3/2022
Week45,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",More than half the days,1206042,household_income,5/3/2022
Week45,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",Nearly every day,1376457,household_income,5/3/2022
Week45,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",Did not report,50334,household_income,5/3/2022
Week45,"$200,000 and above",Frequency of not being able to stop or control worrying,Not at all,9520489,household_income,5/3/2022
Week45,"$200,000 and above",Frequency of not being able to stop or control worrying,Several days,3889501,household_income,5/3/2022
Week45,"$200,000 and above",Frequency of not being able to stop or control worrying,More than half the days,812041,household_income,5/3/2022
Week45,"$200,000 and above",Frequency of not being able to stop or control worrying,Nearly every day,829015,household_income,5/3/2022
Week45,"$200,000 and above",Frequency of not being able to stop or control worrying,Did not report,53168,household_income,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,12065584,household_income,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,6998291,household_income,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,2358314,household_income,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,3789239,household_income,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,44262156,household_income,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Not at all,12830601,household_income,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Several days,6873959,household_income,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,More than half the days,2275124,household_income,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,3052212,household_income,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Did not report,44441688,household_income,5/3/2022
Week45,Regular income sources like those received before the pandemic,"Frequency of feeling nervous, anxious, or on edge",Not at all,72968755,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Regular income sources like those received before the pandemic,"Frequency of feeling nervous, anxious, or on edge",Several days,49175266,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Regular income sources like those received before the pandemic,"Frequency of feeling nervous, anxious, or on edge",More than half the days,14908503,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Regular income sources like those received before the pandemic,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,21082097,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Regular income sources like those received before the pandemic,"Frequency of feeling nervous, anxious, or on edge",Did not report,4834970,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Regular income sources like those received before the pandemic,Frequency of not being able to stop or control worrying,Not at all,84834814,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Regular income sources like those received before the pandemic,Frequency of not being able to stop or control worrying,Several days,44676745,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Regular income sources like those received before the pandemic,Frequency of not being able to stop or control worrying,More than half the days,13286347,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Regular income sources like those received before the pandemic,Frequency of not being able to stop or control worrying,Nearly every day,15104936,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Regular income sources like those received before the pandemic,Frequency of not being able to stop or control worrying,Did not report,5066749,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,"Frequency of feeling nervous, anxious, or on edge",Not at all,19803723,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,"Frequency of feeling nervous, anxious, or on edge",Several days,24881882,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,"Frequency of feeling nervous, anxious, or on edge",More than half the days,9327601,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,14271296,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,"Frequency of feeling nervous, anxious, or on edge",Did not report,2507732,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,Frequency of not being able to stop or control worrying,Not at all,24438488,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,Frequency of not being able to stop or control worrying,Several days,23885070,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,Frequency of not being able to stop or control worrying,More than half the days,8400569,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,Frequency of not being able to stop or control worrying,Nearly every day,11459998,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Credit cards or loans,Frequency of not being able to stop or control worrying,Did not report,2608109,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
Week45,Money from savings or selling assets or possessions (including withdrawals from retirement accounts),"Frequency of feeling nervous, anxious, or on edge",Not at all,14532642,used_in_the_last_7_days_to_meet_spending_needs,5/3/2022
